Time,m_2_Positive,m_2_Negative,m_3_Positive,m_3_Negative,m_5_Positive,m_5_Negative,m_10_Positive,m_10_Negative
82,219.33333333333334,78.66666666666667,217.0,78.0,204.0,90.0,200.66666666666666,96.0
83,220.0,78.33333333333333,217.66666666666666,78.33333333333333,205.66666666666666,89.33333333333333,201.33333333333334,97.33333333333333
84,220.33333333333334,77.66666666666667,219.0,76.66666666666667,204.33333333333334,90.66666666666667,201.66666666666666,96.66666666666667
85,220.0,76.0,218.0,75.66666666666667,204.0,90.66666666666667,202.0,94.66666666666667
86,219.33333333333334,77.33333333333333,218.66666666666666,76.66666666666667,203.66666666666666,91.0,202.0,95.33333333333333
87,219.33333333333334,77.33333333333333,218.66666666666666,77.33333333333333,204.33333333333334,90.0,202.33333333333334,95.0
88,220.0,77.66666666666667,218.66666666666666,76.66666666666667,205.0,90.66666666666667,202.66666666666666,95.0
89,219.66666666666666,77.66666666666667,219.33333333333334,77.0,205.66666666666666,90.33333333333333,202.0,95.0
90,219.66666666666666,77.33333333333333,219.0,76.66666666666667,205.0,90.33333333333333,202.0,94.66666666666667
91,219.66666666666666,76.66666666666667,219.66666666666666,76.0,205.0,90.33333333333333,201.66666666666666,96.0
92,219.33333333333334,75.66666666666667,218.66666666666666,77.66666666666667,204.66666666666666,89.0,202.33333333333334,95.66666666666667
93,219.33333333333334,75.66666666666667,218.66666666666666,77.0,206.0,89.0,202.66666666666666,95.66666666666667
94,219.66666666666666,75.66666666666667,218.33333333333334,76.0,205.66666666666666,89.33333333333333,202.33333333333334,95.0
95,219.66666666666666,74.66666666666667,218.0,77.33333333333333,205.66666666666666,89.0,202.0,94.66666666666667
96,219.66666666666666,75.33333333333333,218.0,76.0,205.0,89.33333333333333,201.33333333333334,94.66666666666667
97,221.0,74.0,217.0,76.0,205.0,88.33333333333333,201.33333333333334,94.33333333333333
98,222.33333333333334,75.0,217.33333333333334,76.66666666666667,204.66666666666666,90.0,202.33333333333334,94.66666666666667
99,221.33333333333334,74.33333333333333,217.33333333333334,77.0,203.66666666666666,92.0,201.66666666666666,93.0
100,220.66666666666666,74.0,217.66666666666666,77.0,203.66666666666666,89.66666666666667,201.66666666666666,93.66666666666667
101,222.0,73.33333333333333,217.66666666666666,76.66666666666667,204.33333333333334,90.66666666666667,201.33333333333334,94.33333333333333
102,223.0,73.0,218.66666666666666,76.33333333333333,204.33333333333334,90.0,202.0,93.66666666666667
103,223.33333333333334,73.0,218.33333333333334,76.33333333333333,202.66666666666666,91.66666666666667,201.66666666666666,95.33333333333333
104,222.0,73.33333333333333,218.33333333333334,76.33333333333333,204.33333333333334,90.33333333333333,200.66666666666666,95.33333333333333
105,223.0,73.33333333333333,219.0,76.0,202.0,89.33333333333333,199.0,95.33333333333333
106,222.66666666666666,73.66666666666667,219.33333333333334,75.33333333333333,202.0,89.0,200.66666666666666,96.0
107,223.33333333333334,74.33333333333333,217.33333333333334,76.0,200.66666666666666,90.0,199.66666666666666,96.0
108,223.66666666666666,73.66666666666667,216.33333333333334,77.66666666666667,200.66666666666666,90.66666666666667,199.0,97.0
109,224.0,72.33333333333333,216.66666666666666,77.66666666666667,199.66666666666666,92.0,197.66666666666666,98.33333333333333
110,223.33333333333334,72.0,216.33333333333334,77.66666666666667,199.66666666666666,92.66666666666667,196.66666666666666,98.66666666666667
111,224.0,72.33333333333333,217.0,77.66666666666667,201.0,92.33333333333333,197.33333333333334,99.0
112,222.33333333333334,72.0,217.0,76.0,200.66666666666666,91.0,196.33333333333334,98.33333333333333
113,223.0,73.0,217.0,75.66666666666667,200.0,92.0,196.33333333333334,98.66666666666667
114,222.66666666666666,73.0,215.66666666666666,75.0,200.33333333333334,92.66666666666667,195.66666666666666,98.33333333333333
115,223.33333333333334,73.33333333333333,217.66666666666666,74.66666666666667,199.0,91.33333333333333,196.33333333333334,99.33333333333333
116,223.0,72.66666666666667,219.33333333333334,74.0,199.66666666666666,92.0,195.66666666666666,99.33333333333333
117,223.0,73.33333333333333,219.0,74.33333333333333,201.0,92.66666666666667,195.33333333333334,98.66666666666667
